Facility Type,Facility Number,FAC_N2,FAC_ID_Z,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Latitude,Longitude,WUICLASS10,HAZ_CLASS,Risk,Duplicate address
RESIDENTIAL CARE ELDERLY,306005574,306005574,CA306005574,EUROPEAN RETIREMENT LIVING LLC,EUROPEAN RETIREMENT LIVING LLC,"TATARICI, FLORELA GABRIELA",(949) 394-5764,2689 CANARY DR,COSTA MESA,CA,92626,ORANGE,22,6,LICENSED,5/29/2019,,33.668751,-117.935428,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,347003778,347003778,CA347003778,EUROPEAN VILLA,"JURCUT, RODICA","JURCUT, RODICA",(916) 224-9177,6824 MOUNT VERNON WAY,FAIR OAKS,CA,95628,SACRAMENTO,27,6,LICENSED,10/18/2007,,38.653617,-121.302703,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,347001947,347001947,CA347001947,EVA'S CARE HOME,"NEMETHY, EVA","NEMETHY, EVA",(916) 727-1904,8220 CATALPA DRIVE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,27,6,LICENSED,11/25/2002,,38.715291,-121.273677,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608976,197608976,CA197608976,EVA'S CARE HOME AT HIGH DESERT,EVA'S CARE HOME AT HIGH DESERT LLC,"CALKO, EVA JURATE",(661) 285-1239,5539 DRIFTWOOD PLACE,PALMDALE,CA,93552,LOS ANGELES,31,2,CLOSED,3/25/2016,6/7/2018,34.566355,-118.030398,High_Dens_Interface,Urban Unzoned,Risky,Duplicate address
RESIDENTIAL CARE ELDERLY,197609708,197609708,CA197609708,EVA'S CARE HOME IN LANCASTER LLC,EVA'S CARE HOME IN LANCASTER LLC,"CALKO, JURATE EVA",(661) 471-8803,2851 W.AVENUE J9,LANCASTER,CA,93536,LOS ANGELES,31,2,LICENSED,7/9/2019,,34.681078,-118.183205,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,347004011,347004011,CA347004011,EVA'S ELDER CARE,"DEREBENSKIY, NIKOLAY","DEREBRENSKIY, NIKOLAY",(916) 689-4189,9947 SHELDON ROAD,ELK GROVE,CA,95624,SACRAMENTO,27,3,CLOSED,10/27/2008,5/23/2017,38.438694,-121.322734,Med_Dens_NoVeg,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,496801404,496801404,CA496801404,EVA'S GARDENS,"MEJIA-CHISTIAKOFF, CONCHITA","MEJIA-CHISTIAKOFF,CONCHITA",(707) 545-0157,311 MOSSWOOD LANE,SANTA ROSA,CA,95401,SONOMA,21,6,LICENSED,7/29/2003,,38.435719,-122.741719,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,415600645,415600645,CA415600645,EVA-MARIE RESIDENTIAL CARE HOME,"GEONANGA, EVA L. & GITANO, MARIE R.","GEONANGA, EVA & GITANO, M",(650) 756-8005,9 LARKSPUR AVENUE,DALY CITY,CA,94015,SAN MATEO,14,6,LICENSED,2/21/2006,,37.680069,-122.487408,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,415600311,415600311,CA415600311,EVA-MARIE RESIDENTIAL CARE HOME II,"GEONANGA, EVA L. & GITANO, MARIE R.","GEONANGA, EVA & GITANO, M",(650) 994-4368,41 LARKSPUR AVENUE,DALY CITY,CA,94015,SAN MATEO,14,6,LICENSED,9/27/2002,,37.680069,-122.48788,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,366426751,366426751,CA366426751,EVANS ELDERLY RESIDENTIAL CARE,EVANS ELDERLY RESIDENTIAL CARE LLC,"EVANS, KELLY",(760) 261-4241,13947 CASTILLE ST.,VICTORVILLE,CA,92392,SAN BERNARDINO,18,6,LICENSED,11/4/2015,,34.490324,-117.358733,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,435200918,435200918,CA435200918,EVCO CARE,"BLANCHARD, THELMA",MICHELLE BAYQUEN,(408) 937-1625,3274 EVCO COURT,SAN JOSE,CA,95127,SANTA CLARA,26,6,LICENSED,11/27/2001,,37.379138,-121.833361,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,397000677,397000677,CA397000677,EVE'S ESTATE II,"COUNTS, EVELYN",MIA ALFARO,(209) 910-0545,1866 MONTEZUMA ROAD,STOCKTON,CA,95205,SAN JOAQUIN,27,6,CLOSED,11/4/1996,5/16/2019,37.941416,-121.242765,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306001509,306001509,CA306001509,EVE'S GUEST HOME III,ELVIEVER ENRIQUEZ & NORMALITA CLAYTON,ELVIEVER ENRIQUEZ,(714) 630-4143,137 S.GLENDON ST.,ANAHEIM,CA,92806,ORANGE,22,6,LICENSED,4/10/2002,,33.8401,-117.86627,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197609036,197609036,CA197609036,EVENING GRACE ASSISTED LIVING,EVENING GRACE ASSISTED LIVING,"KENEZ, PAUL",(818) 388-4728,17452 TIARA STREET,ENCINO,CA,91316,LOS ANGELES,31,6,LICENSED,1/11/2017,,34.178852,-118.513523,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608884,197608884,CA197608884,EVENING GRACE ASSISTED LIVING,EVENING GRACE ASSISTED LIVING,PAUL KENEZ,(818) 990-0593,17355 BURBANK BLVD.,ENCINO,CA,91316,LOS ANGELES,31,6,LICENSED,5/7/2015,,34.172403,-118.511729,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608994,197608994,CA197608994,EVENING GRACE ASSISTED LIVING NORTHRIDGE,EVENING GRACE ASSISTED LIVING,"KENEZ, PAUL",(818) 388-4728,9611 CORBIN AVE,NORTHRIDGE,CA,91324,LOS ANGELES,31,6,LICENSED,9/16/2016,,34.244116,-118.56248,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197607017,197607017,CA197607017,"EVENING GRACE RESIDENTIAL FACILITY FOR ELDERLY,","EVENING GRACE RESIDENTIAL FACILITY FOR ELDERLY, LL",ROMULUS KENEZ,(818) 885-0999,8821 ZELZAH AVENUE,NORTHRIDGE,CA,91325,LOS ANGELES,31,6,LICENSED,5/14/2007,,34.231285,-118.523206,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608594,197608594,CA197608594,"EVENING GRACE RES. FACILITY FOR ELDERLY, LLC","EVENING GRACE RES. FACILITY FOR ELDERLY, LLC.",DIANA KENEZ,(818) 388-1462,17241 RAYMER STREET,SHERWOOD FOREST,CA,91325,LOS ANGELES,31,6,LICENSED,2/11/2014,,34.224655,-118.508448,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197607451,197607451,CA197607451,EVENING GRACE RES. FACILITY FOR THE ELDERLY LLC.,"EVENING GRACE RES. FAC. FOR THE ELDERLY, LLC.",DIANA KENEZ,(818) 885-0999,8811 ZELZAH AVENUE,NORTHRIDGE,CA,91325,LOS ANGELES,31,6,LICENSED,8/25/2008,,34.231037,-118.523203,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,374600944,374600944,CA374600944,"EVENING SHADE MANOR,INC.","EVENING SHADE MANOR,INC.",PATSY A. FOSTER,(619) 444-2282,386 SANDY STREET,EL CAJON,CA,92020,SAN DIEGO,8,6,LICENSED,4/21/2000,,32.786013,-116.966383,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306005374,306005374,CA306005374,EVER CARE,EVER CARE INC,"MOKHTARZAD, SHAHIN",(949) 616-4785,24985 HENDON ST,LAGUNA HILLS,CA,92653,ORANGE,22,6,LICENSED,7/2/2018,,33.601436,-117.694084,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306005210,306005210,CA306005210,EVER CARE,EVER CARE INC,"MOKHTAZAD, SHAHIN",(949) 616-4785,24611 SPARTAN STREET,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,5/2/2017,,33.604743,-117.686737,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,366410695,366410695,CA366410695,"EVERETT FOREST,LLC","GALASINAO, ANGELO","GALASINAO, ROSALINDA",(909) 799-3170,11350 POPLAR ST,LOMA LINDA,CA,92354,SAN BERNARDINO,18,6,LICENSED,11/21/2005,,34.047504,-117.25528,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,496801513,496801513,CA496801513,EVERGREEN,"CABANERO, MARIA E.","CABANERO, MARIA",(707) 537-9346,184 CALISTOGA RD.,SANTA ROSA,CA,95409,SONOMA,21,6,CLOSED,7/30/2004,7/30/2019,38.466696,-122.653235,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,306003773,306003773,CA306003773,EVERGREEN CARE HOME,EVERGREEN GREEN HOME,HAERYUN CHO,(562) 480-9453,4715 ST. ANDREWS AVENUE,BUENA PARK,CA,90621,ORANGE,22,6,LICENSED,11/28/2007,,33.891936,-117.98944,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,374600960,374600960,CA374600960,EVERGREEN CHALET,"MOZES, GEORGE",AILA SARAPAT,(760) 630-8122,1178 EVERGREEN LANE,VISTA,CA,92084,SAN DIEGO,8,12,CLOSED,7/18/2000,5/10/2017,33.255832,-117.22981,Med_Dens_Interface,High,Risky,Duplicate address
RESIDENTIAL CARE ELDERLY,336425140,336425140,CA336425140,EVERGREEN CHATEAU,MAHBOUBEH ARABSHAHI,MAHBOUBEH ARABSHAHI,(951) 303-1051,32913 NORTHSHIRE CIRCLE,TEMECULA,CA,92592,RIVERSIDE,18,6,LICENSED,4/13/2011,,33.507705,-117.086301,Med_Dens_NoVeg,High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197607308,197607308,CA197607308,EVERGREEN CHATEAU,EVERGREEN CHATEAU INCORPORATED,JOY MICHAYLUK,(818) 902-9501,13530 SHERMAN WAY,VAN NUYS,CA,91405,LOS ANGELES,31,46,LICENSED,4/2/2008,,34.201025,-118.42792,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198601829,198601829,CA198601829,EVERGREEN COTTAGE I,"PLATINUM CAPITAL PROPERTY MANAGEMENT, INC.",DAVID SU,(626) 703-4958,131 SEGOVIA AVENUE,SAN GABRIEL,CA,91776,LOS ANGELES,28,6,CLOSED,5/15/2015,8/10/2017,34.103899,-118.10217,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,197608642,197608642,CA197608642,EVERGREEN COTTAGE II,"PLATINUM CAPITAL PROPERTY MANAGEMENT, INC.",JIAMEI LIU,(626) 921-0060,169 N. MOUNTAIN TRAIL AVENUE,SIERRA MADRE,CA,91024,LOS ANGELES,28,6,CLOSED,12/23/2014,3/14/2017,34.16495,-118.048472,High_Dens_Interface,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,107203381,107203381,CA107203381,EVERGREEN COURT,"HAMILTON, BRADLEY","WOOD, ANDREA",(559) 222-4876,1415 W. SCOTT,FRESNO,CA,93711,FRESNO,24,6,CLOSED,8/9/2007,3/13/2019,36.810796,-119.817751,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,107208891,107208891,CA107208891,EVERGREEN COURT,EVERGREEN CARE HOMES INC,"WOOD, ANDREA",(559) 903-1518,1415 W SCOTT AVE,FRESNO,CA,93711,FRESNO,24,6,LICENSED,3/13/2019,,36.810796,-119.817751,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608601,197608601,CA197608601,EVERGREEN ELDERLY CARE LIVING,"ANTELOPE VALLEY ELDERLY CARE LIVING, LLC",ZOREEN RAI,(661) 942-3495,45237 SANCROFT AVENUE,LANCASTER,CA,93535,LOS ANGELES,31,6,LICENSED,4/1/2014,,34.7052,-118.121186,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,107206774,107206774,CA107206774,EVERGREEN GARDENS,"UYEMURA, INC.",STEPHANIE UYEMURA,(559) 454-1915,10775 E. TULARE AVE.,SANGER,CA,93657,FRESNO,24,6,LICENSED,3/20/2014,,36.741519,-119.595253,Low_Dens_NoVeg,Non-Wildland/Non-Urban,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198200705,198200705,CA198200705,EVERGREEN HAVEN,"FELICIANO, VIRGINIA",ARLENE FELICIANO,(310) 630-0817,2513 WEST 168TH STREET,TORRANCE,CA,90504,LOS ANGELES,11,6,LICENSED,12/19/1995,,33.87811,-118.321516,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,435202663,435202663,CA435202663,EVERGREEN HOME LIVING,"NGUYEN, THU NGOC","ARANZASO, RHONALD",(408) 528-1017,3291 SYLVAN DR,SAN JOSE,CA,95148,SANTA CLARA,26,6,LICENSED,6/27/2019,,37.345705,-121.80165,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,107206775,107206775,CA107206775,EVERGREEN MEADOWS,"UYEMURA, INC., EVERGREEN MEADOWS",STEPHANIE UYEMURA,(559) 453-8773,10691 TULARE AVENUE,SANGER,CA,93657,FRESNO,24,6,LICENSED,3/20/2014,,36.742234,-119.597077,Low_Dens_NoVeg,Non-Wildland/Non-Urban,Ok,FALSE
RESIDENTIAL CARE ELDERLY,547201120,547201120,CA547201120,EVERGREEN RESIDENCE,"TANTINGCO, NEIL & MELANIE","CORONADO, ESMERALDA",(559) 732-3265,3030 W. CALDWELL AVE,VISALIA,CA,93277,TULARE,24,40,LICENSED,10/17/2000,,36.298822,-119.324513,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,11440058,11440058,CA011440058,EVERGREEN RESIDENTIAL CARE HOME,"WANG, LILY","WANG, DANIEL",(510) 533-1504,4600 FAIRFAX AVE.,OAKLAND,CA,94601,ALAMEDA,15,90,CLOSED,2/4/1993,11/25/2017,37.780642,-122.204179,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,430708158,430708158,CA430708158,EVERGREEN RESIDENTIAL CARE HOME,"SERRANO, CHARITO","SERRANO, CHARITO",(408) 238-7231,3805 POLTON PLACE WAY,SAN JOSE,CA,95121,SANTA CLARA,26,6,CLOSED,11/20/1986,11/20/2019,37.29707,-121.809713,High_Dens_NoVeg,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,435202601,435202601,CA435202601,EVERGREEN RESIDENTIAL CARE HOME INC,EVERGREEN RESIDENTIAL CARE HOME INC,"DEVANO, DANTE",(408) 300-1054,5707 FLOWERING MEADOW COURT,SAN JOSE,CA,95135,SANTA CLARA,26,6,LICENSED,8/26/2017,,37.280182,-121.757013,Med_Dens_Interface,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,191221567,191221567,CA191221567,EVERGREEN RETIREMENT,"225 N. EVERGREEN, INC",AVI HEYMAN,(818) 843-8268,225 NORTH EVERGREEN,BURBANK,CA,91505,LOS ANGELES,28,99,CLOSED,1/23/1992,6/19/2017,34.153339,-118.34619,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197609022,197609022,CA197609022,EVERGREEN RETIREMENT,225 N EVERGREEN ST INC,"HEYMAN, AVI",(818) 843-8268,225 NORTH EVERGREEN STREET,BURBANK,CA,91505,LOS ANGELES,28,99,LICENSED,6/19/2017,,34.153339,-118.34619,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,19200712,19200712,CA019200712,EVERGREEN SENIOR ASSISTED LIVING,EVERGREEN ISLAND LLC,"GARCIA, EMILY",(925) 989-3345,1710 MT DIABLO WAY,LIVERMORE,CA,94551,ALAMEDA,15,6,LICENSED,6/13/2017,,37.717266,-121.730187,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197608072,197608072,CA197608072,EVERGREEN SENIOR CARE,"EVERGREEN SENIOR CARE, INC.",EVANGELINA REYES,(626) 284-0503,528 HOWARD STREET,ALHAMBRA,CA,91801,LOS ANGELES,28,14,LICENSED,6/28/2011,,34.09278,-118.133687,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608576,197608576,CA197608576,EVERGREEN SENIOR LIVING,JACOB FAHIMIPOUR & MARYAM FAHIMIPOUR,JACOB FAHIMIPOUR,(818) 853-3007,23635 COLLINS STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,31,6,LICENSED,4/1/2014,,34.17397,-118.642118,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197607677,197607677,CA197607677,EVERGREEN TERRACE LLC,EVERGREEN TERRACE LLC,YSLANI GALLARDO,(818) 894-0555,15857 LASSEN STREET,NORTH HILLS,CA,91343,LOS ANGELES,31,6,CLOSED,2/23/2009,4/19/2018,34.250254,-118.478194,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608131,197608131,CA197608131,"EVERGREEN TERRACE, LLC",EVERGREEN TERRACE LLC,YSLANI GALLARDO,(818) 894-0555,17158 PARTHENIA STREET,NORTHRIDGE,CA,91325,LOS ANGELES,31,6,CLOSED,4/14/2011,11/13/2015,34.228388,-118.507756,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,374600921,374600921,CA374600921,EVERGREEN VILLA,EVERGREEN VILLA INCORPORATED,PAZ VILLANUEVA,(760) 432-9409,1921 FELICITA ROAD,ESCONDIDO,CA,92025,SAN DIEGO,8,6,CLOSED,6/26/2000,6/10/2015,33.099371,-117.083027,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,157208252,157208252,CA157208252,EVERGREEN VILLA ASSISTED LIVING LLC,EVERGREEN VILLA ASSISTED LIVING LLC,"TSAI, JAMES",(661) 679-4888,14116 PALM AVE,BAKERSFIELD,CA,93314,KERN,24,6,CLOSED,6/12/2017,6/29/2018,35.376391,-119.159213,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,374603550,374603550,CA374603550,EVERLASTING CARE - EUREKA SPRINGS,"EVERLASTING CARE HOME, INC.",AIDA VARGAS,(760) 317-1890,420 BOUDINOT COURT,ESCONDIDO,CA,92027,SAN DIEGO,8,6,LICENSED,12/30/2014,,33.153408,-117.031087,Med_Dens_Interface,Non-Wildland/Non-Urban,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197607877,197607877,CA197607877,EVERLASTING HOME CARE,"MISSION OF LOVE II, INC.",ANITA OJA,(562) 421-4855,5413 BROCKWOOD STREET,LONG BEACH,CA,90808,LOS ANGELES,28,6,CLOSED,4/15/2010,12/31/2019,33.828301,-118.126922,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,198603247,198603247,CA198603247,EVERLASTING HOME CARE,"SHINING BRIGHT SENIOR CARE HOME, INC","BULLER, KATHRINA",(562) 421-4855,5413 BROCKWOOD STREET,LONG BEACH,CA,90808,LOS ANGELES,28,6,LICENSED,12/31/2019,,33.828301,-118.126922,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,107208848,107208848,CA107208848,EVERSPRING RETIREMENT HOME,ANM DIVERSIFIED INC,"RODRIGUEZ, LETICIA",(559) 907-2596,5738 N. LOLA AVE,FRESNO,CA,93722,FRESNO,24,6,LICENSED,2/5/2018,,36.820848,-119.89119,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,107203398,107203398,CA107203398,EVERVALLEY GARDEN RANCH CARE HOME,"MCMURTRIE, FLORA","MCMURTRIE, FLORA",(559) 298-6227,6095 NORTH DEWOLF AVENUE,CLOVIS,CA,93619,FRESNO,24,6,CLOSED,10/2/2006,2/11/2015,36.846344,-119.672059,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,331880767,331880767,CA331880767,EVERWOOD HOME CARE LLC,EVERWOOD HOME CARE LLC,"MEKAIL, KYROLLOS",(951) 750-9207,13247 YELLOWWOOD STREET,MORENO VALLEY,CA,92553,RIVERSIDE,18,6,LICENSED,10/4/2019,,33.928617,-117.273857,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,336426412,336426412,CA336426412,EVERWOOD MANOR,FORMBY/JOHHY & SOPHIA,"FORMBY, SOPHIA",(760) 325-4089,68602 EVERWOOD COURT,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,CLOSED,7/31/2015,2/2/2016,33.848356,-116.465698,Med_Dens_NoVeg,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,435202392,435202392,CA435202392,EVONNE'S RESIDENTIAL CARE HOME #1,PHILOMENA AGBONTAEN,PHILOMENA AGBONTAEN,(408) 661-5746,2719 PENITENCIA CREEK RD.,SAN JOSE,CA,95132,SANTA CLARA,26,6,LICENSED,2/24/2014,,37.384423,-121.855153,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,435202711,435202711,CA435202711,EVONNES RESIDENTIAL CARE FACILITY #2,"AGBONTAEN, PHILOMENA O","AGBONTAEN, PHILOMENA",(408) 661-5746,2974 WARRINGTON AVE,SAN JOSE,CA,95127,SANTA CLARA,26,6,LICENSED,6/13/2019,,37.351326,-121.818029,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198202148,198202148,CA198202148,EXBROOK ARMS,"EXBROOK ENTERPRISES, LLC",ELIZABETH LOPEZ,(310) 394-6767,851 4TH STREET,SANTA MONICA,CA,90403,LOS ANGELES,31,44,CLOSED,12/10/1998,5/3/2016,34.023953,-118.503807,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,336426460,336426460,CA336426460,EXCEL ASSISTED LIVING,PAOLO ANGELES,PAOLO ANGELES,(760) 884-6112,30304 NEBULA LANE,TEMECULA,CA,92592,RIVERSIDE,18,6,CLOSED,8/19/2015,1/25/2017,33.508412,-117.131771,Med_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,331880896,331880896,CA331880896,EXCEL ASSISTED LIVING 2,"EXCEL ASSISTED LIVING, LLC","ANGELES, PAOLO",(760) 884-6112,37774 RUSHING WIND ROAD,MURRIETA,CA,92563,RIVERSIDE,18,6,PENDING,,,33.571631,-117.149468,High_Dens_Interface,High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,331800060,331800060,CA331800060,EXCEL ASSISTED LIVING LLC,"EXCEL ASSISTED LIVING, LLC","ANGELES, PAOLO",(760) 884-6112,30304 NEBULA LANE,TEMECULA,CA,92592,RIVERSIDE,18,6,CLOSED,1/25/2017,6/12/2018,33.508412,-117.131771,Med_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,331880549,331880549,CA331880549,EXCEL ASSISTED LIVING LLC,EXCEL ASSISTED LIVING LLC,"ANGELES, PAOLO",(760) 884-6112,24077 GRAFTON AVE,MURRIETA,CA,92562,RIVERSIDE,18,6,LICENSED,6/12/2018,,33.567135,-117.225446,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,486801479,486801479,CA486801479,EXCEL CARE,"MANIO, ESPERANZA AND JESUS","MANIO, JESUS & ESPERANZA",(707) 644-6799,1728 SERENO DRIVE,VALLEJO,CA,94589,SOLANO,21,6,LICENSED,4/21/2005,,38.129655,-122.234177,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,366425610,366425610,CA366425610,EXCELCARE,"ICOBO, INC.","ANDERSON, DORRIS",(909) 796-4553,11400 POPLAR STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,18,10,LICENSED,11/7/2013,,34.046721,-117.255283,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,366425609,366425609,CA366425609,EXCELCARE III,"DARGEM, LLC","ANDERSON, DORRIS",(909) 253-1947,25185 BIRCH STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,18,6,CLOSED,1/11/2013,1/29/2018,34.043573,-117.254755,Med_Dens_Interface,High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,75601578,75601578,CA075601578,EXCELLENT BOARD AND CARE,EXCELLENT BOARD AND CARE LLC,"OJEDA, FRANCIS & JOSELYN",(925) 939-7700,2449 GILL PORT LANE,WALNUT CREEK,CA,94598,CONTRA COSTA,15,6,CLOSED,11/16/2012,3/28/2017,37.93558,-122.037849,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,197607154,197607154,CA197607154,EXCELLENT HOME CARE LLC,"EXCELLENT HOME CARE, LLC.",AMY FREY,(661) 949-3740,44148 12TH ST. W.,LANCASTER,CA,93534,LOS ANGELES,31,6,LICENSED,7/31/2007,,34.685306,-118.152088,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608687,197608687,CA197608687,"EXCELLENT HOME CARE, LLC II","EXCELLENT HOME CARE, LLC.",AMY MORALES FREY,(661) 949-3740,37208 27TH STREET EAST,PALMDALE,CA,93550,LOS ANGELES,31,6,LICENSED,11/18/2014,,34.558507,-118.080688,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,435202758,435202758,CA435202758,EXCELSIOR HEALTHCARE INC,"TA, BERNELLET C & TAA, EMMANUEL A","TAA, BERNELLET C.",(408) 614-6649,5359 BIRCH GROVE DRIVE,SAN JOSE,CA,95123,SANTA CLARA,26,6,PENDING,,,37.256859,-121.819965,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,496803503,496803503,CA496803503,EXCEPTIONAL CARE HOME,"EXCEPTIONAL CARE HOMES, LLC","JONES, RICHARD",(707) 205-1228,4310 LICHAU ROAD,PENNGROVE,CA,94951,SONOMA,21,6,CLOSED,5/28/2014,9/19/2019,38.331288,-122.630571,Low_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,496890049,496890049,CA496890049,EXCEPTIONAL CARE HOME,EXCEPTIONAL CARE HOMES LLC,"JONES, RICHARD",(707) 205-1228,393 BONNIE AVENUE,ROHNERT PARK,CA,94928,SONOMA,21,6,LICENSED,8/21/2019,,38.330856,-122.700035,High_Dens_Interface,Urban Unzoned,Risky,FALSE
